Test,Database,Operation,Duration(ms),Status
,mysql,history,9.00,success
,mongo,history,18.40,success
,mysql,search,12.10,success
,mongo,search,12.40,success
,mysql,booking,9.30,success
,mongo,booking,6.20,success
,mysql,history,9.10,success
,mongo,history,15.10,success
,mysql,search,12.60,success
,mongo,search,12.90,success
,mysql,booking,9.70,success
,mongo,booking,5.80,success
,mysql,history,7.70,success
,mongo,history,17.60,success
,mysql,search,12.20,success
,mongo,search,11.10,success
,mysql,booking,9.70,success
,mongo,booking,6.00,success
,mysql,history,8.20,success
,mongo,history,13.30,success
,mysql,search,18.90,success
,mongo,search,26.90,success
,mysql,booking,12.70,success
,mongo,booking,6.30,success
,mysql,history,8.30,success
,mongo,history,9.90,success
,mysql,search,8.80,success
,mongo,search,10.70,success
,mysql,booking,9.20,success
,mongo,booking,6.00,success
,mysql,history,7.90,success
,mongo,history,16.20,success
,mysql,search,16.10,success
,mongo,search,31.30,success
,mysql,booking,10.00,success
,mongo,booking,6.50,success
,mysql,history,8.40,success
,mongo,history,10.70,success
,mysql,search,12.10,success
,mongo,search,10.60,success
,mysql,booking,11.90,success
,mongo,booking,7.20,success
,mysql,history,8.40,success
,mongo,history,12.00,success
,mysql,search,10.60,success
,mongo,search,13.70,success
,mysql,booking,9.10,success
,mongo,booking,6.30,success
,mysql,history,7.40,success
,mongo,history,10.70,success
,mysql,search,9.80,success
,mongo,search,13.70,success
,mysql,booking,9.50,success
,mongo,booking,7.50,success
,mysql,history,8.40,success
,mongo,history,14.10,success
,mysql,search,11.10,success
,mongo,search,11.60,success
,mysql,booking,10.80,success
,mongo,booking,6.80,success
