Test,Database,Operation,Duration(ms),Status
1, mysql, history, 85.33, 200
1, mongo, history, 7.14, 200
2, mysql, history, 3.77, 200
2, mongo, history, 4.62, 200
3, mysql, history, 4.11, 200
3, mongo, history, 4.26, 200
4, mysql, history, 3.72, 200
4, mongo, history, 4.54, 200
5, mysql, history, 4.36, 200
5, mongo, history, 4.46, 200
6, mysql, history, 3.37, 200
6, mongo, history, 3.52, 200
7, mysql, history, 2.62, 200
7, mongo, history, 3.64, 200
8, mysql, history, 2.76, 200
8, mongo, history, 4.12, 200
9, mysql, history, 2.65, 200
9, mongo, history, 3.93, 200
10, mysql, history, 2.48, 200
10, mongo, history, 3.79, 200
1, mysql, search, 2.62, 200
1, mongo, search, 3.10, 200
2, mysql, search, 2.78, 200
2, mongo, search, 2.96, 200
3, mysql, search, 2.25, 200
3, mongo, search, 3.08, 200
4, mysql, search, 2.28, 200
4, mongo, search, 3.15, 200
5, mysql, search, 2.33, 200
5, mongo, search, 2.98, 200
6, mysql, search, 2.43, 200
6, mongo, search, 2.99, 200
7, mysql, search, 2.17, 200
7, mongo, search, 2.76, 200
8, mysql, search, 2.23, 200
8, mongo, search, 2.59, 200
9, mysql, search, 9.84, 200
9, mongo, search, 3.19, 200
10, mysql, search, 1.98, 200
10, mongo, search, 2.72, 200
1, mysql, booking, 6.67, 200
1, mongo, booking, 3.50, 200
2, mysql, booking, 3.21, 200
2, mongo, booking, 3.20, 200
3, mysql, booking, 3.30, 200
3, mongo, booking, 2.57, 200
4, mysql, booking, 3.96, 200
4, mongo, booking, 2.56, 200
5, mysql, booking, 3.65, 200
5, mongo, booking, 2.48, 200
6, mysql, booking, 3.10, 200
6, mongo, booking, 3.53, 200
7, mysql, booking, 11.52, 200
7, mongo, booking, 3.09, 200
8, mysql, booking, 3.09, 200
8, mongo, booking, 2.20, 200
9, mysql, booking, 12.06, 200
9, mongo, booking, 2.27, 200
10, mysql, booking, 2.85, 200
10, mongo, booking, 2.92, 200
